Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17
Page 1,Capa,1,Mônica,Cebolinha,Princesa Usagi Mimi,Lorde Kamen,,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,
Page 3,,,,,,,,,,,,,,,,,,,
Page 4,,,,,,,,,,,,,,,,,,,
Page 5,,,,,,,,,,,,,,,,,,,
Page 6,,,,,,,,,,,,,,,,,,,
Page 7,,1,Princesa Usagi Mimi,Imperador Usagi,,,,,,,,,,,,,,,
Page 8,,1,Princesa Usagi Mimi,Imperador Usagi,,,,,,,,,,,,,,,
Page 9,,1,Princesa Usagi Mimi,Imperador Usagi,,,,,,,,,,,,,,,
Page 10,,1,Princesa Usagi Mimi,Imperador Usagi,,,,,,,,,,,,,,,
Page 11,,1,Princesa Usagi Mimi,Imperador Usagi,Robô,#1tmj_07 Alien 1,,,,,,,,,,,,,
Page 12,,1,Princesa Usagi Mimi,Imperador Usagi,Robô,,,,,,,,,,,,,,
Page 13,,1,Princesa Usagi Mimi,Imperador Usagi,Robô,Lorde Kamen,#1tmj_07 Alien 1,,,,,,,,,,,,
Page 14,,1,Princesa Usagi Mimi,Imperador Usagi,Robô,Lorde Kamen,,,,,,,,,,,,,
Page 15,,1,Princesa Usagi Mimi,Imperador Usagi,Robô,Lorde Kamen,,,,,,,,,,,,,
Page 16,,1,Princesa Usagi Mimi,Imperador Usagi,Robô,Lorde Kamen,,,,,,,,,,,,,
Page 17,,1,Princesa Usagi Mimi,Imperador Usagi,Robô,Lorde Kamen,,,,,,,,,,,,,
Page 18,,1,Princesa Usagi Mimi,,,,,,,,,,,,,,,,
Page 19,,1,Mônica,Princesa Usagi Mimi,,,,,,,,,,,,,,,
Page 20,,1,Mônica,Princesa Usagi Mimi,#1tmj_08 Figurante 1,#1tmj_08 Figurante 2,#1tmj_08 Figurante 3,#1tmj_08 Figurante 4,#1tmj_08 Figurante 5,#1tmj_08 Sombra 1,#1tmj_08 Sombra 2,#1tmj_08 Sombra 3,#1tmj_08 Sombra 4,#1tmj_08 Sombra 5,#1tmj_08 Sombra 6,#1tmj_08 Sombra 7,#1tmj_08 Sombra 8,#1tmj_08 Sombra 9,#1tmj_08 Sombra 10
Page 21,,1,Mônica,Cebolinha,Princesa Usagi Mimi,,,,,,,,,,,,,,
Page 22,,1,Mônica,Princesa Usagi Mimi,Robô que diz resiliente,,,,,,,,,,,,,,
Page 23,,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Xabéu,Astronauta,,,,,,,,,,
Page 24,,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Zé Luís,Xabéu,Astronauta,Princesa Usagi Mimi,Robô,,,,,,,
Page 25,,1,Mônica,Cebolinha,Xabéu,,,,,,,,,,,,,,
Page 26,,1,Mônica,Princesa Usagi Mimi,,,,,,,,,,,,,,,
Page 27,,1,Mônica,Princesa Usagi Mimi,,,,,,,,,,,,,,,
Page 28,,1,Mônica,Sansão,,,,,,,,,,,,,,,
Page 29,,1,Mônica,Cebolinha,Cascão,Astronauta,Princesa Usagi Mimi,,,,,,,,,,,,
Page 30,,1,Mônica,Princesa Usagi Mimi,,,,,,,,,,,,,,,
Page 31,,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Xabéu,,,,,,,,,,,
Page 32,,1,Mônica,Princesa Usagi Mimi,,,,,,,,,,,,,,,
Page 33,,1,Cebolinha,Magali,Robô,,,,,,,,,,,,,,
Page 34,,1,Mônica,Princesa Usagi Mimi,,,,,,,,,,,,,,,
Page 35,,1,Mônica,Princesa Usagi Mimi,,,,,,,,,,,,,,,
Page 36,,1,Mônica,Princesa Usagi Mimi,,,,,,,,,,,,,,,
Page 37,,1,Mônica,Imperador Usagi,#1tmj_08 Figurante 6,#1tmj_08 Figurante 7,#1tmj_08 Figurante 8,#1tmj_08 Figurante 9,,,,,,,,,,,
Page 38,,1,#1tmj_08 Sombra 1,#1tmj_08 Sombra 2,#1tmj_08 Sombra 3,#1tmj_08 Sombra 4,#1tmj_08 Sombra 5,#1tmj_08 Sombra 6,#1tmj_08 Sombra 7,#1tmj_08 Sombra 8,#1tmj_08 Sombra 9,#1tmj_08 Sombra 10,,,,,,,
Page 39,,1,Cebolinha,Magali,Cascão,#1tmj_07 Guerreiro Robô 11,,,,,,,,,,,,,
Page 40,,1,Franjinha,Zé Luís,Astronauta,#1tmj_07 Guerreiro Robô 11,#1tmj_07 Guerreiro Robô 12,,,,,,,,,,,,
Page 41,,1,Franjinha,Astronauta,,,,,,,,,,,,,,,
Page 42,,1,Franjinha,Astronauta,,,,,,,,,,,,,,,
Page 43,,1,Mônica,Princesa Usagi Mimi,,,,,,,,,,,,,,,
Page 44,,1,Mônica,Cebolinha,Cascão,Princesa Usagi Mimi,Robô,,,,,,,,,,,,
Page 45,,1,Mônica,Princesa Usagi Mimi,,,,,,,,,,,,,,,
Page 46,,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Zé Luís,Xabéu,Astronauta,Robô,,,,,,,,
Page 47,,1,Mônica,Princesa Usagi Mimi,,,,,,,,,,,,,,,
Page 48,,1,Mônica,Zé Luís,Princesa Usagi Mimi,,,,,,,,,,,,,,
Page 49,,1,Cebolinha,Zé Luís,Xabéu,Princesa Usagi Mimi,,,,,,,,,,,,,
Page 50,,1,Mônica,Cebolinha,Princesa Usagi Mimi,,,,,,,,,,,,,,
Page 51,,1,Mônica,Cebolinha,Magali,Cascão,Xabéu,Astronauta,Princesa Usagi Mimi,,,,,,,,,,
Page 52,,1,Princesa Usagi Mimi,Lorde Kamen,,,,,,,,,,,,,,,
Page 53,,1,Mônica,Princesa Usagi Mimi,,,,,,,,,,,,,,,
Page 54,,1,Mônica,Princesa Usagi Mimi,Robô que diz resiliente,,,,,,,,,,,,,,
Page 55,,1,Princesa Usagi Mimi,Robô,,,,,,,,,,,,,,,
Page 56,,1,Mônica,Princesa Usagi Mimi,,,,,,,,,,,,,,,
Page 57,,1,Mônica,Princesa Usagi Mimi,Robô,,,,,,,,,,,,,,
Page 58.1,,0.5,Mônica,Princesa Usagi Mimi,,,,,,,,,,,,,,,
Page 58.2,,0.5,Princesa Usagi Mimi,Robô,,,,,,,,,,,,,,,
Page 59,,1,Mônica,Imperador Usagi,Robô,,,,,,,,,,,,,,
Page 60,,1,Mônica,Magali,Princesa Usagi Mimi,Robô,,,,,,,,,,,,,
Page 61,,1,Mônica,Princesa Usagi Mimi,#1tmj_08 Sombra 1,#1tmj_08 Sombra 2,#1tmj_08 Sombra 3,#1tmj_08 Sombra 4,#1tmj_08 Sombra 5,#1tmj_08 Sombra 6,#1tmj_08 Sombra 7,#1tmj_08 Sombra 8,#1tmj_08 Sombra 9,#1tmj_08 Sombra 10,,,,,
Page 62.1,,0.5,Mônica,Princesa Usagi Mimi,#1tmj_08 Figurante 10,#1tmj_08 Figurante 11,#1tmj_08 Figurante 12,#1tmj_08 Figurante 13,#1tmj_08 Figurante 14,#1tmj_08 Figurante 15,,,,,,,,,
Page 62.2,,0.5,Mônica,Robô,,,,,,,,,,,,,,,
Page 63,,1,Cebolinha,Magali,Zé Luís,Astronauta,Robô,,,,,,,,,,,,
Page 64.1,,0.5,Mônica,Cebolinha,Princesa Usagi Mimi,,,,,,,,,,,,,,
Page 64.2,,0.5,Mônica,Cebolinha,Xabéu,,,,,,,,,,,,,,
Page 65,,1,Mônica,Princesa Usagi Mimi,Imperador Usagi,,,,,,,,,,,,,,
Page 66,,1,Mônica,Princesa Usagi Mimi,,,,,,,,,,,,,,,
Page 67.1,,0.5,Mônica,Magali,Franjinha,Xabéu,Princesa Usagi Mimi,Robô,,,,,,,,,,,
Page 67.2,,0.5,Mônica,Princesa Usagi Mimi,Imperador Usagi,,,,,,,,,,,,,,
Page 68,,1,Mônica,Princesa Usagi Mimi,Lorde Kamen,,,,,,,,,,,,,,
Page 69,,1,Mônica,Princesa Usagi Mimi,,,,,,,,,,,,,,,
Page 70.1,,0.5,Mônica,Cebolinha,Magali,Cascão,Franjinha,Astronauta,Princesa Usagi Mimi,Robô,,,,,,,,,
Page 70.2,,0.5,Mônica,Princesa Usagi Mimi,Imperador Usagi,,,,,,,,,,,,,,
Page 71,,1,Mônica,Princesa Usagi Mimi,Lorde Kamen,,,,,,,,,,,,,,
Page 72,,1,Mônica,Princesa Usagi Mimi,Lorde Kamen,,,,,,,,,,,,,,
Page 73,,1,Mônica,Princesa Usagi Mimi,Lorde Kamen,,,,,,,,,,,,,,
Page 74,,1,Mônica,Princesa Usagi Mimi,Lorde Kamen,,,,,,,,,,,,,,
Page 75,,1,Mônica,Princesa Usagi Mimi,,,,,,,,,,,,,,,
Page 76,,1,Mônica,Princesa Usagi Mimi,Lorde Kamen,,,,,,,,,,,,,,
Page 77,,1,Cebolinha,Franjinha,Xabéu,Astronauta,Lorde Kamen,#1tmj_07 Guerreiro Robô 11,#1tmj_07 Guerreiro Robô 12,,,,,,,,,,
Page 78,,1,Zé Luís,,,,,,,,,,,,,,,,
Page 79,,,,,,,,,,,,,,,,,,,
Page 80,,,,,,,,,,,,,,,,,,,
Page 81,,1,#1tmj_07 Guerreiro Robô 13,#1tmj_07 Guerreiro Robô 14,#1tmj_08 Figurante 16,#1tmj_08 Figurante 17,#1tmj_08 Figurante 18,#1tmj_08 Sombra 11,#1tmj_08 Sombra 12,#1tmj_08 Sombra 13,#1tmj_08 Sombra 14,#1tmj_08 Sombra 15,#1tmj_08 Sombra 16,#1tmj_08 Sombra 17,#1tmj_08 Sombra 18,#1tmj_08 Sombra 19,#1tmj_08 Sombra 20,,
Page 82,,1,Cebolinha,Magali,Cascão,Franjinha,Zé Luís,Xabéu,Astronauta,Robô,#1tmj_07 Guerreiro Robô 11,#1tmj_07 Guerreiro Robô 12,,,,,,,
Page 83,,1,Magali,Franjinha,Astronauta,,,,,,,,,,,,,,
Page 84,,1,Franjinha,Astronauta,,,,,,,,,,,,,,,
Page 85,,1,Cebolinha,Magali,Cascão,Franjinha,Zé Luís,Xabéu,Astronauta,Robô,#1tmj_07 Guerreiro Robô 11,#1tmj_07 Guerreiro Robô 12,,,,,,,
Page 86,,1,Zé Luís,Astronauta,Robô,,,,,,,,,,,,,,
Page 87,,1,Magali,Astronauta,Robô,,,,,,,,,,,,,,
Page 88,,1,Cebolinha,Magali,Cascão,Franjinha,Xabéu,Astronauta,Robô,,,,,,,,,,
Page 89,,1,Xabéu,Astronauta,Robô,,,,,,,,,,,,,,
Page 90,,1,Robô,,,,,,,,,,,,,,,,
Page 91,,1,Robô,,,,,,,,,,,,,,,,
Page 92,,1,Robô,,,,,,,,,,,,,,,,
