Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16
Page 1,Capa,1,Bruxa Viviane,Mônica,Cebolinha,Magali,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,
Page 3,,1,Bruxa Viviane,Bóris,Mônica,Cebolinha,Magali,Sansão,,,,,,,,,,
Page 4,1,1,Bruxa Viviane,Bóris,,,,,,,,,,,,,,
Page 5,1,1,Bruxa Viviane,Bóris,Mônica,Magali,Cebolinha,Cascão,,,,,,,,,,
Page 6,1,1,Bruxa Viviane,Bóris,,,,,,,,,,,,,,
Page 7,1,1,Bruxa Viviane,Bóris,,,,,,,,,,,,,,
Page 8,1,1,Bruxa Viviane,Bóris,#tdm01 Atendente 1,#tdm01 Atendente 2,,,,,,,,,,,,
Page 9,1,1,Bruxa Viviane,Bóris,#tdm01 Atendente 1,,,,,,,,,,,,,
Page 10,1,1,Bruxa Viviane,Bóris,#tdm01 Atendente 1,,,,,,,,,,,,,
Page 11,1,1,Bruxa Viviane,Bóris,Cebolinha,Cascão,,,,,,,,,,,,
Page 12,1,1,Bruxa Viviane,Bóris,Mônica,Cebolinha,Cascão,,,,,,,,,,,
Page 13,1,1,Bruxa Viviane,Bóris,Mônica,Cebolinha,Cascão,,,,,,,,,,,
Page 14,1,1,Bruxa Viviane,Mônica,Cebolinha,Cascão,,,,,,,,,,,,
Page 15,1,1,Bruxa Viviane,Mônica,Cebolinha,Cascão,,,,,,,,,,,,
Page 16,1,1,Bruxa Viviane,Bóris,Mônica,Cebolinha,Cascão,,,,,,,,,,,
Page 17,1,1,Bruxa Viviane,Bóris,Magali,#tdm01 Criança 1,,,,,,,,,,,,
Page 18,1,1,Bruxa Viviane,Bóris,Magali,,,,,,,,,,,,,
Page 19,1,1,Bruxa Viviane,Bóris,Magali,#tdm01 Figurante 1,#tdm01 Atendente 3,,,,,,,,,,,
Page 20,1,1,Bruxa Viviane,Magali,#tdm01 Atendente 4,,,,,,,,,,,,,
Page 21,1,1,Bruxa Viviane,Mônica,Magali,Cebolinha,Cascão,#tdm01 Atendente 4,,,,,,,,,,
Page 22,1,1,Bruxa Viviane,Mônica,Magali,Cebolinha,Cascão,,,,,,,,,,,
Page 23,1,1,Bruxa Viviane,Mônica,Magali,Cebolinha,Cascão,,,,,,,,,,,
Page 24,1,1,Bruxa Viviane,Mônica,Magali,Cebolinha,Cascão,#tdm01 Animal 1,#tdm01 Animal 2,#tdm01 Animal 3,,,,,,,,
Page 25,1,1,Bruxa Viviane,Magali,#tdm01 Animal 1,#tdm01 Animal 2,#tdm01 Animal 3,#tdm01 Animal 4,,,,,,,,,,
Page 26,1,1,Bruxa Viviane,Bóris,Magali,,,,,,,,,,,,,
Page 27,1,1,Bruxa Viviane,Bóris,Mônica,Magali,Cebolinha,Cascão,,,,,,,,,,
Page 28,,,,,,,,,,,,,,,,,,
Page 29,,,,,,,,,,,,,,,,,,
Page 30,2,1,Piteco,,,,,,,,,,,,,,,
Page 31,2,1,Piteco,,,,,,,,,,,,,,,
Page 32,2,1,Piteco,#tdm01 Dinossauro 1,,,,,,,,,,,,,,
Page 33,2,1,Piteco,#tdm01 Dinossauro 1,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,
Page 36,,,,,,,,,,,,,,,,,,
Page 37,,,,,,,,,,,,,,,,,,
Page 38,3,1,Penadinho,,,,,,,,,,,,,,,
Page 39,3,1,Penadinho,#tdm01 Animal 5,,,,,,,,,,,,,,
Page 40,4,1,Cebolinha,Floquinho,,,,,,,,,,,,,,
Page 41,4,1,Cebolinha,Floquinho,,,,,,,,,,,,,,
Page 42,5,1,Dudu,Dona Cecília,,,,,,,,,,,,,,
Page 43,5,1,Dudu,Lactos Kid,,,,,,,,,,,,,,
Page 44,5,1,Dudu,Lactos Kid,Milhus,Ervilhus,,,,,,,,,,,,
