Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16
Page 1,Capa,1,Mônica,Cebolinha,Franjinha,Xabéu,Astronauta,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,
Page 3,,,,,,,,,,,,,,,,,,
Page 4,,,,,,,,,,,,,,,,,,
Page 5,,,,,,,,,,,,,,,,,,
Page 6,,,,,,,,,,,,,,,,,,
Page 7,1,1,Mônica,Cebolinha,Magali,Cascão,Xabéu,Astronauta,,,,,,,,,,
Page 8,1,1,Mônica,Dona Luísa,Seu Souza,,,,,,,,,,,,,
Page 9,1,1,Mônica,Dona Luísa,Seu Souza,,,,,,,,,,,,,
Page 10,1,1,Mônica,Magali,#1tmj_06 Aeromoça 1,,,,,,,,,,,,,
Page 11,1,1,Mônica,Magali,Cascão,#1tmj_06 Aeromoça 1,,,,,,,,,,,,
Page 12,1,1,Cebolinha,Cascão,,,,,,,,,,,,,,
Page 13,1,1,Mônica,Cebolinha,Cascão,,,,,,,,,,,,,
Page 14,2,1,,,,,,,,,,,,,,,,
Page 15,2,1,,,,,,,,,,,,,,,,
Page 16,2,1,Mônica,Dona Luísa,Seu Souza,,,,,,,,,,,,,
Page 17,2,1,Dona Luísa,Seu Souza,,,,,,,,,,,,,,
Page 18,2,1,Dona Luísa,Seu Souza,Horácio,,,,,,,,,,,,,
Page 19,2,1,Zé Luís,Xabéu,Astronauta,,,,,,,,,,,,,
Page 20,2,1,Zé Luís,Xabéu,Astronauta,,,,,,,,,,,,,
Page 21,2,1,Zé Luís,Xabéu,Astronauta,,,,,,,,,,,,,
Page 22,2,1,Zé Luís,Xabéu,,,,,,,,,,,,,,
Page 23,2,1,Zé Luís,Xabéu,,,,,,,,,,,,,,
Page 24,2,1,Mônica,Magali,Franjinha,,,,,,,,,,,,,
Page 25,2,1,Cebolinha,Cascão,Franjinha,,,,,,,,,,,,,
Page 26,2,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,,,,,,,,,,,
Page 27,2,1,Mônica,Franjinha,,,,,,,,,,,,,,
Page 28,2,1,Mônica,Cebolinha,Cascão,,,,,,,,,,,,,
Page 29,2,1,Mônica,Cebolinha,,,,,,,,,,,,,,
Page 30,2,1,Astronauta,,,,,,,,,,,,,,,
Page 31,2,1,Cebolinha,Astronauta,,,,,,,,,,,,,,
Page 32,2,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Astronauta,,,,,,,,,,
Page 33,2,1,Cebolinha,Cascão,Franjinha,Astronauta,,,,,,,,,,,,
Page 34,2,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Astronauta,#1tmj_06 Sombra 1,#1tmj_06 Sombra 2,#1tmj_06 Sombra 3,#1tmj_06 Sombra 4,#1tmj_06 Sombra 5,,,,,
Page 35,2,1,Mônica,Magali,Franjinha,Astronauta,,,,,,,,,,,,
Page 36,2,1,Mônica,,,,,,,,,,,,,,,
Page 37,2,1,Mônica,Cebolinha,Cascão,,,,,,,,,,,,,
Page 38,2,1,Mônica,Magali,Franjinha,,,,,,,,,,,,,
Page 39,2,1,Franjinha,Astronauta,,,,,,,,,,,,,,
Page 40,3,1,Mônica,Magali,,,,,,,,,,,,,,
Page 41,3,1,Mônica,Magali,#1tmj_06 Jornalista 1,,,,,,,,,,,,,
Page 42,3,1,Mônica,Magali,,,,,,,,,,,,,,
Page 43,3,1,#1tmj_06 Sombra 6,#1tmj_06 Sombra 7,#1tmj_06 Sombra 8,#1tmj_06 Sombra 9,#1tmj_06 Sombra 10,,,,,,,,,,,
Page 44,3,1,Mônica,Magali,,,,,,,,,,,,,,
Page 45,3,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,,,,
Page 46,3,1,Franjinha,Astronauta,,,,,,,,,,,,,,
Page 47,3,1,,,,,,,,,,,,,,,,
Page 48,3,1,Franjinha,Astronauta,,,,,,,,,,,,,,
Page 49,3,1,Franjinha,Astronauta,,,,,,,,,,,,,,
Page 50,3,1,Franjinha,Astronauta,,,,,,,,,,,,,,
Page 51.1,3,0.5,Astronauta,Lorde Kamen,,,,,,,,,,,,,,
Page 51.2,3,0.5,Franjinha,Astronauta,,,,,,,,,,,,,,
Page 52,3,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,,,,,,,,,,,
Page 53,3,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,,,,,,,,,,,
Page 54,3,1,Mônica,,,,,,,,,,,,,,,
Page 55,3,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Xabéu,,,,,,,,,,
Page 56,3,1,Mônica,Xabéu,,,,,,,,,,,,,,
Page 57,3,1,Cebolinha,Magali,Xabéu,,,,,,,,,,,,,
Page 58,3,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Xabéu,,,,,,,,,,
Page 59,3,1,Mônica,Cebolinha,Magali,Xabéu,,,,,,,,,,,,
Page 60,3,1,Cebolinha,Cascão,Xabéu,,,,,,,,,,,,,
Page 61,3,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,,,,,,,,,,,
Page 62,3,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Xabéu,,,,,,,,,,
Page 63,3,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Xabéu,,,,,,,,,,
Page 64,3,1,Magali,Cascão,Franjinha,,,,,,,,,,,,,
