Page,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17
Page 1,Homem Invisível,Mulher Invisível,Cranicóla,Zé Caveirinha,Frank,Lobi,Zé Vampir,Muminho,Penadinho,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,
Page 3,Penadinho,,,,,,,,,,,,,,,,
Page 4,Criança 1 - gibi 5,Criança 2 - gibi 5,Criança 3 - gibi 5,Criança 4 - gibi 5,Criança 5 - gibi 5,Criança 6 - gibi 5,Criança 7 - gibi 5,Criança 8 - gibi 5,,,,,,,,,
Page 5,Criança 9 - gibi 5,Criança 10 - gibi 5,Criança 11 - gibi 5,Criança 12 - gibi 5,Criança 13 - gibi 5,Criança 14 - gibi 5,Criança 15 - gibi 5,Criança 16 - gibi 5,Criança 17 - gibi 5,Criança 18 - gibi 5,Criança 19 - gibi 5,Criança 20 - gibi 5,Criança 21 - gibi 5,Criança 22 - gibi 5,Criança 23 - gibi 5,Criança 24 - gibi 5,Criança 25 - gibi 5
Page 6,Criança 26 - gibi 5,Criança 27 - gibi 5,Criança 28 - gibi 5,Criança 29 - gibi 5,Criança 30 - gibi 5,,,,,,,,,,,,
Page 7,Criança 31 - gibi 5,Criança 32 - gibi 5,Criança 33 - gibi 5,Criança 34 - gibi 5,Criança 35 - gibi 5,Criança 36 - gibi 5,Figurante 1 - gibi 5,,,,,,,,,,
Page 8,Criança 37 - gibi 5,Criança 38 - gibi 5,Criança 39 - gibi 5,Criança 40 - gibi 5,Criança 41 - gibi 5,Criança 42 - gibi 5,Criança 43 - gibi 5,Criança 44 - gibi 5,Criança 45 - gibi 5,Criança 46 - gibi 5,,,,,,,
Page 9,Magali,Atendente 1 - gibi 5,Atendente 2 - gibi 5,Sombra 1 - gibi 5,Sombra 2 - gibi 5,Criança 47 - gibi 5,Criança 48 - gibi 5,Criança 49 - gibi 5,Criança 50 - gibi 5,Criança 51 - gibi 5,Criança 52 - gibi 5,Criança 53 - gibi 5,Criança 54 - gibi 5,,,,
Page 10,Penadinho,Cranicóla,,,,,,,,,,,,,,,
Page 11,Funcionário Parque,Penadinho,,,,,,,,,,,,,,,
Page 12,Zé Vampir,Muminho,Frank,Lobi,Cranicóla,Penadinho,Zé Caveirinha,Camisa 1,Camisa 2,Camisa 3,Vestido,Lixo,,,,,
Page 13,Zé Vampir,Muminho,Frank,Lobi,Cranicóla,Penadinho,Zé Caveirinha,Vestido,Alminha,Toalha,Lixo,Fantasminha,,,,,
Page 14,Zé Vampir,Frank,Cranicóla,Penadinho,Vestido,Alminha,Lixo,Fantasminha,,,,,,,,,
Page 15,Zé Vampir,Lobi,Cranicóla,Penadinho,Vestido,Alminha,Toalha,Camisa 1,Camisa 2,Camisa 3,Fantasminha,,,,,,
Page 16,Frank,Lobi,Cranicóla,Zé Caveirinha,Penadinho,Vestido,Alminha,Toalha,Lixo,Camisa 1,Camisa 2,Camisa 3,Fantasminha,,,,
Page 17,Guarda,Zé Caveirinha,Penadinho,Vestido,Toalha,Lixo,Camisa 1,Camisa 2,Camisa 3,,,,,,,,
Page 18,Cascão,,,,,,,,,,,,,,,,
Page 19,Cascão,Dona Lurdinha,,,,,,,,,,,,,,,
Page 20,Mônica,Marina,Bidu,,,,,,,,,,,,,,
Page 21,Mônica,Marina,Bidu,,,,,,,,,,,,,,
Page 22,Mônica,Marina,Floquinho,,,,,,,,,,,,,,
Page 23,Mônica,Marina,Monicão,Labrador,Cachorro Branco,Pitbull,,,,,,,,,,,
Page 24,Mônica,Marina,Cebolinha,Sansão,,,,,,,,,,,,,
Page 25,,,,,,,,,,,,,,,,,
Page 26,,,,,,,,,,,,,,,,,
Page 27,Dona Cebola,Cebolinha,Anjinho,Anjinho 2,Anjinho 3,Anjinho 4,Anjinho 5,,,,,,,,,,
Page 28,Chico Bento,Galo,,,,,,,,,,,,,,,
Page 29,Chico Bento,Galo,,,,,,,,,,,,,,,
Page 30,Maurício de Souza,Desenhista 1,Desenhista 2,Desenhista 3,Desenhista 4,Sombra 3 - gibi 5,Sombra 4 - gibi 5,Sombra 5 - gibi 5,Sombra 6 - gibi 5,Sombra 7 - gibi 5,Sombra 8 - gibi 5,Sombra 9 - gibi 5,Sombra 10 - gibi 5,,,,
Page 31,Maurício de Souza,Desenhista 1,Desenhista 2,Desenhista 3,Desenhista 4,Tina,Sombra 11 - gibi 5,Sombra 12 - gibi 5,Sombra 13 - gibi 5,Sombra 14 - gibi 5,Sombra 15 - gibi 5,Sombra 16 - gibi 5,Sombra 17 - gibi 5,Sombra 18 - gibi 5,Sombra 19 - gibi 5,Sombra 20 - gibi 5,
Page 32,Rita Najura,Jotalhão,Formiga,,,,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,
Page 36,Lobi,Penadinho,Frank,,,,,,,,,,,,,,
Page 37,Lobi,Penadinho,Frank,,,,,,,,,,,,,,
Page 38,Lobi,Penadinho,Frank,,,,,,,,,,,,,,
Page 39,Lobi,Penadinho,Frank,Doutor,,,,,,,,,,,,,
Page 40,Lobi,Penadinho,Frank,Doutor,,,,,,,,,,,,,
Page 41,Lobi,Penadinho,Frank,,,,,,,,,,,,,,
Page 42,Lobi,Penadinho,Frank,,,,,,,,,,,,,,
Page 43,,,,,,,,,,,,,,,,,
Page 44,Cebolinha,Floquinho,,,,,,,,,,,,,,,
Page 45,Cebolinha,Floquinho,,,,,,,,,,,,,,,
Page 46,Astronauta,,,,,,,,,,,,,,,,
Page 47,Astronauta,,,,,,,,,,,,,,,,
